100070 3 3 3 3 3 2 1 1 1 20
100070 4 2 2 3 2 2 2 2 3 20
100070 4 3 4 5 4 4 4 4 4 20
100070 5 2 4 3 2 2 2 2 2 20
100070 4 1 5 3 1 2 1 2 1 20
100070 3 3 1 1 1 1 1 1 1 20
100070 4 4 4 4 4 5 5 4 4 20
100070 1 1 1 1 1 1 1 1 1 20
100070 2 2 2 2 1 1 1 2 2 20
100070 4 3 4 3 3 2 3 3 3 20
100070 4 4 4 6 4 6 6 6 6 20
100070 3 3 3 2 2 3 3 5 4 20
100070 1 1 1 1 2 1 1 1 1 20
100070 3 3 3 3 3 3 3 3 3 20
100070 2 2 2 2 2 2 2 2 2 20
100070 4 3 3 3 4 4 4 4 4 20
100070 4 2 4 4 3 4 4 4 4 20
100070 5 4 6 3 6 2 3 3 3 20
100070 3 4 4 3 2 4 4 4 4 20
100070 2 2 2 3 3 4 4 4 4 20
1001180 4 3 4 4 4 3 4 4 4 24
1001180 4 4 3 3 4 1 1 2 1 24
1001180 4 3 3 3 4 1 1 2 1 24
1001180 2 2 2 3 3 1 2 2 1 24
1001180 2 2 5 2 5 2 2 3 2 24
1001180 3 3 2 2 2 2 2 4 2 24
1001180 4 3 3 3 3 3 3 3 3 24
1001180 4 4 4 4 4 1 1 1 3 24
1001180 3 3 3 3 3 5 3 5 5 24
1001180 3 4 2 2 2 2 2 2 2 24
1001180 4 4 3 5 4 5 5 5 5 24
1001180 2 2 2 2 2 1 1 1 1 24
1001180 3 4 3 3 4 2 2 2 2 24
1001180 5 2 2 2 2 5 5 5 5 24
1001180 2 3 4 5 5 3 3 3 2 24
1001180 5 5 5 5 5 4 4 4 4 24
1001180 3 3 3 3 3 1 1 1 2 24
1001180 5 2 5 4 4 4 4 4 4 24
1001180 3 2 4 3 3 2 2 3 2 24
1001180 3 4 4 3 4 3 2 3 3 24
1001180 4 4 4 4 4 2 2 3 3 24
1001180 5 5 6 5 6 4 4 5 5 24
1001180 2 2 2 2 2 1 1 1 1 24
1001180 2 1 4 3 3 2 3 2 2 24
1001190 3 2 2 2 3 1 1 1 1 15
1001190 3 3 3 2 3 2 2 3 4 15
1001190 3 3 3 3 3 3 3 3 3 15
1001190 4 2 3 3 6 1 1 2 2 15
1001190 3 2 3 3 4 2 2 4 2 15
1001190 3 2 4 2 3 1 1 2 2 15
1001190 2 5 5 3 4 2 2 2 2 15
1001190 2 2 2 2 2 2 2 2 2 15
1001190 4 3 3 4 3 2 3 1 3 15
1001190 4 2 3 4 4 1 2 4 2 15
1001190 4 3 2 2 3 1 2 2 2 15
1001190 3 2 4 3 3 2 2 2 2 15
1001190 3 3 3 2 2 2 2 4 2 15
1001190 3 2 3 4 4 2 3 4 4 15
1001190 3 3 2 4 4 3 3 3 4 15
1001212 3 2 3 3 3 2 2 2 2 56
1001212 3 3 4 3 4 2 3 3 3 56
1001212 3 3 3 3 3 2 1 2 2 56
1001212 4 3 4 5 4 1 1 1 4 56
